Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.691312,5.661975861,-3.141217804,0.1571731567,6.476876048,0.0
1.701294,6.553521881,-3.038980408,1.003662872,7.293242772,0.0
1.711276,7.021448822,-3.610192566,0.7209008789,7.928047174,0.0
1.721258,7.138505402,-3.807781677,0.3824546814,8.099613093,0.0
1.731241,7.494914246,-3.56169342,0.2550695801,8.302075648,0.0
1.741223,8.311915283,-3.903732147,0.3320095825,9.188976587,0.0
1.751205,10.83641556,-6.555617523,1.063238983,12.70962235,0.0
1.761187,9.468260651,-8.447533264,2.76026001,12.98567724,0.0
1.771169,8.397836609,-7.045399017,1.974843292,11.13828142,0.0
1.781151,8.11567337,-5.325924683,1.570833435,9.833470682,0.0
1.791133,8.366401978,-5.08163269,0.7571255493,9.817989201,0.0
1.801115,7.344926147,-4.17841095,1.410816193,8.567231788,0.0
1.811097,6.05281311,-2.747237091,0.2344125366,6.651226009,0.0
1.82108,6.701863403,-2.057770844,-1.040037231,7.087388191,0.0
1.831062,7.76465332,-1.138831787,0.3989204407,7.857856994,0.0
1.841044,8.525371399,-2.932402039,0.06631210327,9.015838092,0.0
1.851026,9.203161926,-5.244643707,0.4857398987,10.60379273,0.0
1.861008,9.44850174,-5.345234528,1.479972382,10.95609582,0.0
1.87099,9.477541351,-5.306914215,1.351838837,10.94598542,0.0
1.880972,9.543703766,-4.63241684,0.9099577332,10.64751569,0.0
1.890956958,9.91418335,-3.879033508,0.7652087402,10.67349413,0.0
1.900938958,10.75498489,-3.879332886,1.643582153,11.55076993,0.0
1.910921958,11.34475845,-3.8273909,0.7897576904,11.99900757,0.0
1.920903958,11.86537582,-3.855831757,0.5195695496,12.48697459,0.0
1.930885958,12.23869949,-4.077520752,1.01324295,12.93980688,0.0
1.940867958,12.6141188,-4.660708008,1.083596649,13.49119617,0.0
1.950849958,12.79434402,-4.898563385,1.447639618,13.77631383,0.0
1.960831958,12.25666214,-4.334985352,1.07057373,13.04469214,0.0
1.970813958,11.46720383,-2.87372406,-0.2609074402,11.82468292,0.0
1.980795958,11.12980545,-2.314936066,-0.427660675,11.37604466,0.0
1.990777958,11.00331848,-2.492766266,-0.1655557251,11.2833643,0.0
2.000759958,11.62198196,-3.968397675,0.3902384949,12.28702287,0.0
2.010742958,14.04738831,-7.94023819,2.370769958,16.30941602,0.0
2.020724958,13.42588074,-10.06162674,3.486250305,17.13605986,0.0
2.030706958,11.19117783,-9.004075928,2.980003052,14.66956927,0.0
2.040688958,8.798253937,-7.003635864,1.994452515,11.42094692,0.0
2.050670958,6.974147186,-6.099366302,0.9837542725,9.317122449,0.0
2.060652958,5.646408234,-5.926026764,0.2127076721,8.188098906,0.0
2.070634958,4.845723267,-5.94638443,-1.060993652,7.743786496,0.0
2.080616958,5.22323822,-6.108946381,-1.767524414,8.229555634,0.0
2.090598958,6.274801483,-6.459966431,-2.240540771,9.280319116,0.0
2.100580958,7.169041901,-6.099965057,-3.347339172,9.990466206,0.0
2.110563958,8.605155487,-5.859564972,-4.073479156,11.17928598,0.0
2.120545958,9.387428741,-5.175936584,-4.545447693,11.6436778,0.0
2.130527958,9.365873566,-4.453538818,-4.437073059,11.28012469,0.0
2.140509958,8.759484558,-3.715872803,-3.751498718,10.22790414,0.0
2.150491958,8.411458282,-4.131109314,-2.377955017,9.668162424,0.0
2.160473958,8.031697998,-4.50368454,-0.8396040344,9.246419961,0.0
2.170455958,7.317982178,-4.468657379,-0.01526824951,8.574496781,0.0
2.180437958,6.568490753,-3.889960785,-0.2728825378,7.638804263,0.0
2.190419958,6.368656311,-3.59327774,-0.9187893677,7.369911942,0.0
2.200401958,7.231013031,-4.639601898,-1.704206085,8.758868284,0.0
2.210384958,8.954229584,-6.772366791,-1.348246307,11.30756152,0.0
2.220366958,9.53038147,-7.477250977,0.6363267517,12.13022526,0.0
2.230348958,8.224946136,-6.143823853,0.1272354126,10.26705894,0.0
2.240330958,7.172335052,-4.271068268,-1.45677063,8.473877207,0.0
2.250312958,7.31304245,-3.702700195,-1.704954529,8.372421905,0.0
2.260294958,7.525750122,-3.717669067,-1.426533508,8.514280712,0.0
2.270276958,7.196584625,-3.374432831,-1.391356659,8.069293683,0.0
2.280258958,6.721472626,-3.126697998,-1.663191376,7.597410097,0.0
2.290240958,6.689588928,-3.563639374,-1.793869629,7.788972581,0.0
2.300222958,6.662794647,-3.897145844,-1.202599182,7.811966656,0.0
2.310204958,6.570287018,-4.054019623,-1.050066376,7.791430292,0.0
2.320187958,7.076384583,-4.680167542,-0.7253915405,8.515009094,0.0
2.330169958,7.458689575,-5.130730591,-0.9238787842,9.099999922,0.0
2.340151958,7.066954193,-4.625980225,-1.027762756,8.508691491,0.0
2.350133958,6.868466949,-4.38782547,-1.599573669,8.305870605,0.0
2.360115958,6.343957672,-4.33513504,-2.40564743,8.051480257,0.0
2.370097958,5.578748932,-4.457879791,-2.609074402,7.602789035,0.0
2.380079958,5.200635223,-5.280269623,-2.883753204,7.952602502,0.0
2.390061958,5.173990631,-5.948629761,-3.849694519,8.773626558,0.0
2.400043958,5.306914215,-6.298751678,-4.324507141,9.302632595,0.0
2.410025958,5.831124115,-6.89765625,-4.967120819,10.30785911,0.0
2.420007958,6.318061523,-7.774532776,-5.320685577,11.3433221,0.0
2.429990958,6.749464417,-8.817414093,-5.804180145,12.52958772,0.0
2.439972958,7.074588318,-9.678124237,-5.620362396,13.24025536,0.0
2.449954958,7.763306122,-9.901160431,-5.601800995,13.77251154,0.0
2.459936958,9.190887451,-10.02165985,-5.880222015,14.81496167,0.0
2.469918958,9.361532593,-9.754166107,-4.396507416,14.21658631,0.0
2.479900958,10.00534378,-9.092841339,-2.913092194,13.83014005,0.0
2.489882958,9.467811584,-8.992250519,-1.728755035,13.17150787,0.0
2.499864958,9.91642868,-9.396410065,1.222208405,13.71575274,0.0
2.509846958,13.22305252,-10.37956558,2.511627045,16.99684589,0.0
2.519828958,13.21975937,-9.685009918,3.328478394,16.72244669,0.0
2.529810958,13.75744125,-8.050708466,-1.46500351,16.00710255,0.0
