Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
6.797111167,5.620661774,-2.941533051,4.968018951,8.05764654,1.0,0.0
6.807089167,5.403912506,-2.780767365,5.320835266,8.077513568,1.0,0.0
6.817067167,5.154680786,-2.557132416,5.457800446,7.930778392,1.0,0.0
6.827045167,4.987029419,-2.264640656,5.544170837,7.793387582,1.0,0.0
6.837023167,4.971611481,-1.998643799,5.45031601,7.643130403,1.0,0.0
6.847001167,5.191504211,-2.004930725,5.058580627,7.520684886,1.0,0.0
6.856979167,5.402415619,-2.136656799,4.700824585,7.473228792,1.0,0.0
6.866957167,5.713917847,-2.35071167,4.51655777,7.653365051,1.0,0.0
6.876935167,6.314319305,-2.844385071,4.431833954,8.222062206,1.0,0.0
6.886913167,7.165000305,-3.525169373,4.476590881,9.154447793,1.0,0.0
6.896890167,8.292306061,-4.497098236,4.514761505,10.457978,1.0,0.0
6.906868167,9.919272766,-5.390739899,4.830455017,12.27946841,1.0,0.0
6.916846167,12.04126007,-6.252048798,5.267097015,14.55411863,1.0,0.0
6.926824167,14.33509003,-7.494315491,5.610482941,17.12124673,1.0,0.0
6.936802167,15.34339325,-8.407416687,5.586383057,18.36605694,1.0,0.0
6.946780167,14.92291763,-8.332422638,6.127208405,18.15669079,1.0,0.0
6.956758167,14.80616043,-8.533604279,7.317233734,18.5899623,1.0,0.0
6.966736167,15.23307266,-9.16529068,8.963061218,19.909433,1.0,0.0
6.976714167,15.28666122,-9.34192337,9.897867279,20.46756752,1.0,0.0
6.986692167,15.00315079,-9.32321228,10.66816544,20.63556577,1.0,0.0
6.996670167,14.01894745,-9.109456787,11.22126526,20.13528953,1.0,0.0
7.006648167,12.48478775,-8.356223145,11.27635071,18.78436785,1.0,0.0
7.016626167,10.68418213,-7.370223541,11.15345627,17.1134897,1.0,0.0
7.026603167,8.90438324,-6.373745728,10.47925827,15.15676514,1.0,0.0
7.036581167,7.411687317,-5.254223785,9.602381744,13.21914186,1.0,0.0
7.046559167,6.220314789,-4.036955109,8.834478607,11.53418115,1.0,0.0
7.056537167,5.579497375,-3.361559601,8.064479828,10.36661511,1.0,0.0
7.066515167,5.208119659,-2.436183929,7.385940857,9.360108165,1.0,0.0
7.076493167,4.811893616,-1.61588974,6.642436981,8.359867754,1.0,0.0
7.086471167,4.700375519,-1.383722534,5.793851624,7.587946673,1.0,0.0
7.096449167,4.711602173,-1.212628326,5.144801331,7.080864582,1.0,0.0
7.106427167,4.576582947,-1.096469879,4.557273102,6.551037764,1.0,0.0
7.116405167,4.552632751,-1.205592957,4.132456512,6.26554995,1.0,0.0
7.126383167,4.402195587,-0.3493734741,3.306174774,5.516536907,1.0,0.0
