"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.579265835E-1,5.895639954E0,5.096302185E0,1.127051285E1,1.370238396E1
9.679645831E-1,6.153852997E0,5.179229736E0,1.126856689E1,1.384467144E1
9.780015834E-1,6.381379852E0,5.064568176E0,1.166179916E1,1.422566060E1
9.880395830E-1,6.097570038E0,4.804109802E0,1.248359024E1,1.470033526E1
9.980765833E-1,5.224884796E0,4.405039673E0,1.295002029E1,1.464263710E1
1.008114583E0,4.127965851E0,3.841910706E0,1.283236496E1,1.401677461E1
1.018151583E0,3.257975006E0,3.062481537E0,1.242072098E1,1.320104177E1
1.028189583E0,2.568658447E0,2.319875793E0,1.162677200E1,1.213102045E1
1.038227583E0,1.638941803E0,1.802102509E0,1.088102280E1,1.115035250E1
1.048264583E0,4.564009094E-1,1.411414948E0,1.024065445E1,1.034753099E1
1.058302583E0,-7.509883118E-1,9.330097961E-1,9.580826569E0,9.655398928E0
1.068339583E0,-1.467697906E0,3.737727356E-1,9.222920837E0,9.346449164E0
1.078377458E0,-1.490151215E0,-1.377136230E-2,9.022487640E0,9.144726541E0
1.088414458E0,-1.693428497E0,-2.276765442E-1,8.738827515E0,8.904304746E0
1.098452458E0,-2.406994629E0,-5.930667114E-1,8.234675903E0,8.599723164E0
1.108489458E0,-3.056493988E0,-1.196761322E0,7.576045532E0,8.256564604E0
1.118527458E0,-3.481160889E0,-2.155068512E0,7.212152252E0,8.293246743E0
1.128564458E0,-3.670666809E0,-3.229983215E0,7.381150818E0,8.853698311E0
1.138602458E0,-4.631818085E0,-3.428769836E0,7.248825989E0,9.260436252E0
1.148639458E0,-6.655160522E0,-2.778671722E0,6.808142395E0,9.917811300E0
1.158677458E0,-8.238268433E0,-2.549198914E0,6.813830566E0,1.099071285E1
1.168715458E0,-9.168583832E0,-2.611319733E0,6.763684845E0,1.168885593E1
1.178752458E0,-1.002300705E1,-2.365680542E0,6.405629425E0,1.212803377E1
1.188790458E0,-1.080363373E1,-1.829645233E0,6.121220856E0,1.255131261E1
1.198827459E0,-1.168559967E1,-1.129401398E0,6.129603424E0,1.324389766E1
1.208865458E0,-1.259046799E1,3.517684937E-2,6.586303711E0,1.420917021E1
1.218902458E0,-1.348875000E1,1.202748871E0,7.285799103E0,1.537777129E1
1.228940458E0,-1.381088013E1,1.773961029E0,8.018525391E0,1.606810807E1
1.238977458E0,-1.341884537E1,1.742376709E0,8.659791870E0,1.606528191E1
1.249015458E0,-1.269525009E1,1.600621490E0,9.046587524E0,1.567074057E1
1.259052458E0,-1.210607529E1,1.714983673E0,8.976233826E0,1.516809156E1
1.269090458E0,-1.180804504E1,2.198178864E0,8.074508972E0,1.447271962E1
1.279127458E0,-1.146256348E1,2.903661804E0,6.634503479E0,1.355869646E1
