"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.588634208E0,7.774832153E-1,1.769021301E0,1.050814819E-1,1.935189560E0
1.598611208E0,8.488847351E-1,1.619781647E0,3.089575195E-1,1.854657010E0
1.608589208E0,9.192384338E-1,1.445094910E0,7.012916565E-1,1.850704888E0
1.618567208E0,1.085542603E0,1.291663971E0,1.028361511E0,1.975936728E0
1.628545208E0,1.448537750E0,8.135581970E-1,1.246607666E0,2.077057829E0
1.638523208E0,1.854643250E0,1.977388000E-1,1.478924561E0,2.380340327E0
1.648501208E0,2.386636963E0,-4.743635559E-1,1.755848694E0,3.000676826E0
1.658479208E0,3.281027069E0,-1.684896240E0,2.433938599E0,4.419057713E0
1.668458917E0,4.537214813E0,-3.320844269E0,3.439248047E0,6.591111594E0
1.678436917E0,6.275699615E0,-5.289700012E0,4.771777039E0,9.493955340E0
1.688414917E0,8.217461700E0,-7.375312958E0,6.288572845E0,1.270700856E1
1.698392917E0,1.021999741E1,-9.424701233E0,8.346194000E0,1.621518716E1
1.708370917E0,1.245020966E1,-1.136751114E1,1.099658249E1,2.012840919E1
1.718348917E0,1.487486755E1,-1.298295181E1,1.340432556E1,2.386408738E1
1.728326917E0,1.691003540E1,-1.421414154E1,1.594469284E1,2.724379465E1
1.738304917E0,1.818807770E1,-1.470257584E1,1.848041977E1,2.980768058E1
1.748282917E0,1.851110596E1,-1.409094772E1,2.039972855E1,3.094131181E1
1.758259917E0,1.821337509E1,-1.276949570E1,2.089894043E1,3.052134931E1
1.768237917E0,1.721884323E1,-1.156854309E1,2.021007294E1,2.896147095E1
1.778215917E0,1.562046707E1,-1.017958145E1,1.857382553E1,2.631748212E1
1.788193917E0,1.346479980E1,-8.793314209E0,1.712917969E1,2.349536136E1
1.798171917E0,1.107741440E1,-7.157815247E0,1.595008163E1,2.069658264E1
1.808149917E0,9.157207489E0,-5.796845398E0,1.486543716E1,1.839671404E1
1.818127917E0,7.765401764E0,-4.797673187E0,1.372391098E1,1.648225910E1
1.828105917E0,6.738986206E0,-3.933370514E0,1.214813782E1,1.443823366E1
1.838083917E0,5.940995636E0,-3.158432007E0,1.034364029E1,1.233944960E1
1.848061917E0,5.263055420E0,-2.372416534E0,8.466394043E0,1.024733822E1
1.858039917E0,4.692442017E0,-1.575024719E0,6.664890289E0,8.301835792E0
1.868017917E0,4.458328857E0,-1.002764740E0,5.434748383E0,7.100614291E0
1.877995917E0,4.248614960E0,-7.545808411E-1,4.562961273E0,6.280186056E0
1.887973917E0,3.951782227E0,-7.708969116E-2,3.305426331E0,5.152510923E0
1.897951917E0,3.591780853E0,3.189866638E-1,2.377955017E0,4.319411100E0
1.907929917E0,3.371588745E0,5.075944519E-1,1.591041412E0,3.762535790E0
1.917906917E0,3.237916718E0,6.499484253E-1,8.095166016E-1,3.400272747E0
1.927884917E0,2.917133789E0,8.629554749E-1,-9.430389404E-3,3.042112856E0
1.937862917E0,2.292333069E0,1.216071167E0,-8.716374207E-1,2.737402377E0
1.947840917E0,1.940414886E0,1.492246857E0,-8.695417786E-1,2.597713132E0
1.957818917E0,1.720971222E0,1.286724243E0,-4.155358887E-1,2.188623152E0
1.967796917E0,1.282982025E0,1.778302002E0,-2.941383362E-1,2.212446214E0
1.977774917E0,9.324110413E-1,2.034868469E0,-6.137237549E-3,2.238329221E0
1.987752917E0,9.913883972E-1,1.932481384E0,2.891986084E-1,2.191111839E0
1.997730917E0,1.262474670E0,1.706002350E0,5.330415344E-1,2.188245779E0
2.007708917E0,1.456022186E0,1.397942963E0,7.229965210E-1,2.144054361E0
2.017686917E0,1.554667053E0,1.213376770E0,9.126521301E-1,2.173063907E0
2.027664917E0,1.527872772E0,1.116827545E0,1.089584198E0,2.183779453E0
2.037642917E0,1.575024719E0,1.060394897E0,1.331930237E0,2.319305577E0
2.047620917E0,1.839225311E0,8.584648132E-1,1.696272583E0,2.645194181E0
2.057598917E0,2.377805328E0,2.963836670E-1,1.989363098E0,3.114380676E0
2.067576917E0,3.140918427E0,-6.882687378E-1,2.495011597E0,4.069909739E0
2.077554917E0,3.988755341E0,-1.722617798E0,3.388353882E0,5.509856919E0
2.087531917E0,5.148244171E0,-2.926264801E0,4.832251282E0,7.643173175E0
2.097509917E0,6.740183716E0,-4.782404938E0,7.057224426E0,1.086765339E1
2.107487917E0,8.481811981E0,-7.029082947E0,9.431586914E0,1.450186103E1
2.117465917E0,1.042387344E1,-9.114546204E0,1.251712051E1,1.866575463E1
2.127443917E0,1.225546463E1,-1.057086777E1,1.529489410E1,2.226821601E1
2.137421917E0,1.349234253E1,-1.149324966E1,1.731838623E1,2.478032680E1
2.147399917E0,1.455498276E1,-1.217223770E1,1.864657425E1,2.660273717E1
2.157377917E0,1.522469009E1,-1.189935516E1,1.928170349E1,2.729780085E1
2.167355917E0,1.520867340E1,-1.143008102E1,1.865585495E1,2.664566424E1
2.177333917E0,1.459899124E1,-1.074465637E1,1.775697418E1,2.537495454E1
2.187311917E0,1.339953552E1,-9.838740234E0,1.681154022E1,2.364267849E1
2.197289917E0,1.195743439E1,-8.937614136E0,1.601489685E1,2.189379146E1
2.207267917E0,1.042252625E1,-8.121361542E0,1.534054916E1,2.024643216E1
2.217245917E0,8.984317017E0,-7.172634430E0,1.467114120E1,1.863885783E1
2.227223917E0,7.734116821E0,-6.224655762E0,1.383602783E1,1.702934434E1
2.237201917E0,6.574627991E0,-5.324727173E0,1.266995270E1,1.523503049E1
