Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.247977625,0.9220825195,1.824256439,10.32956955,10.52986965,0.0
1.257918625,1.037791901,1.753154297,10.02809647,10.23295074,0.0
1.267859625,1.069076843,1.745071106,9.715097351,9.928308768,0.0
1.277800625,0.9831555176,1.757195892,9.372759247,9.58660253,0.0
1.287742625,0.8005352783,1.798210602,9.229806519,9.437359083,0.0
1.297683625,0.5948629761,1.837129669,9.295519867,9.493976879,0.0
1.307624625,0.4447251892,1.803599396,9.692494354,9.868900551,0.0
1.317565625,0.6306385803,1.797761536,9.99486557,10.17482134,0.0
1.327506625,0.9815089417,1.779349823,10.16745667,10.36853995,0.0
1.337448625,1.454225922,1.806742859,10.23571472,10.49518693,0.0
1.347389625,1.930834808,1.878144379,10.04471191,10.39960513,0.0
1.357330625,2.260898438,1.971400452,9.731862488,10.18367463,0.0
1.367271625,2.264191589,2.294428711,9.410630493,9.947408353,0.0
1.377212625,2.086511078,2.401306458,9.117539978,9.6565696,0.0
1.387154625,1.809886322,1.76093811,8.488098907,8.855756015,0.0
1.397095625,1.450184326,1.836381226,7.971223755,8.307571169,0.0
1.407036625,1.350791016,2.55892868,8.747659149,9.213809904,0.0
1.416977625,1.876946869,2.818189545,9.436826019,10.0259068,0.0
1.426918625,2.307002563,2.305954742,9.488468628,10.0334802,0.0
1.436859625,2.17048645,1.466799774,9.208401031,9.573774729,0.0
1.446801625,1.362466736,0.8869056702,8.960217133,9.106503629,0.0
1.456742625,0.1342707825,0.9446855164,9.157207489,9.206785995,0.0
1.466683625,-0.9592053223,1.638642426,9.659712524,9.844555343,0.0
1.476624625,-1.646875305,2.417772217,10.14919464,10.5623848,0.0
1.486565625,-2.030826874,2.58242981,10.25771896,10.77097952,0.0
1.496507625,-2.059267731,2.145039368,9.812844086,10.25347193,0.0
1.506452208,-1.802252197,1.505269775,9.121581573,9.418980862,0.0
1.516393208,-1.648970947,0.9725276184,8.663234711,8.872234826,0.0
1.526334208,-1.75510025,0.6509962463,8.488847351,8.692796003,0.0
1.536275208,-2.119143219,0.5842350769,8.517138519,8.796234829,0.0
1.546216208,-2.597398682,0.6462062073,8.712332611,9.114208792,0.0
1.556158208,-2.833457794,0.615819397,8.771609344,9.238443976,0.0
1.566099208,-2.820135498,0.4152365112,8.879235535,9.325578227,0.0
1.576040208,-2.683170319,0.03532653809,8.991502075,9.383376817,0.0
1.585981208,-2.472109222,-0.3876937866,8.92309433,9.267321236,0.0
1.595922208,-2.361638947,-0.7295828247,9.025331726,9.357683601,0.0
1.605864208,-2.298619995,-0.9857002258,9.683213654,10.00099422,0.0
1.615805208,-2.20910614,-1.043779449,11.11154343,11.37699533,0.0
1.625746208,-1.847757568,-0.7825726318,11.76104279,11.93099976,0.0
1.635687208,-2.097737732,0.04550537109,11.21692429,11.4114839,0.0
1.645628208,-2.208208008,0.2472857666,10.3262764,10.56263779,0.0
1.655570208,-1.758094025,-0.1664538574,10.18257523,10.33457497,0.0
1.665511208,-0.8402027893,-0.4858895874,11.22306152,11.26495181,0.0
1.675452208,0.9086105347,-0.6599775696,12.54960297,12.59974913,0.0
1.685393208,2.388433228,-0.9496252441,12.47775238,12.73972943,0.0
1.695334208,2.920726318,-1.12446167,12.49825974,12.88415898,0.0
1.705276208,2.731819153,-0.8384065247,12.40245895,12.72740152,0.0
1.715217208,2.281106415,-0.2817141724,12.5584346,12.76703133,0.0
1.725158208,1.895957336,0.2354603577,12.79958313,12.94138416,0.0
1.735099208,1.597478027,0.5918692017,13.17111053,13.28082821,0.0
1.745040208,1.459015961,0.8024812317,13.39998459,13.50304746,0.0
1.754981208,1.083297272,0.7783813477,12.22313187,12.29570507,0.0
1.764923208,0.2371069336,0.6409671021,10.69885162,10.72065691,0.0
1.774864208,-0.7328759766,0.6310876465,9.096583557,9.147852821,0.0
1.784805208,-1.60421402,0.9051676941,7.729476471,7.945919562,0.0
1.794746208,-2.003583527,1.304986267,7.521858215,7.892761691,0.0
1.804687208,-1.61469223,1.246907043,8.164022827,8.415062501,0.0
1.814629208,-0.8960366821,1.053658905,8.874744873,8.981880393,0.0
1.824570208,-0.4743635559,0.8051756287,9.13954422,9.187197458,0.0
1.834511208,-0.4963677979,0.7942483521,9.264833679,9.31205426,0.0
1.844452208,-0.5120851135,0.9032217407,9.660011902,9.715650808,0.0
1.854393208,-0.2984793091,0.9725276184,10.19410126,10.24473525,0.0
1.864334208,0.05403762817,1.074465637,10.77279785,10.82638305,0.0
1.874276208,0.3270698547,0.8659492493,11.33038834,11.36813717,0.0
1.884217208,0.606688385,0.5388793945,11.41690842,11.44570922,0.0
1.894158208,0.9472302246,0.3650907898,11.10480743,11.15111136,0.0
1.904099208,1.366358643,0.4936734009,10.57910065,10.67839032,0.0
1.914040208,2.018103333,1.055604858,10.65214874,10.89290207,0.0
1.923982208,2.894231415,1.740879822,11.36915771,11.86022703,0.0
1.933923208,3.204536133,2.358345795,12.06311462,12.7023455,0.0
1.943864208,2.985990601,2.861748962,12.02674026,12.71802769,0.0
1.953805208,2.742297363,3.037184143,11.00750977,11.74350687,0.0
1.963746208,2.349065094,2.938688965,9.977651367,10.66337313,0.0
1.973687208,2.041305084,2.676284637,9.016051025,9.62385588,0.0
1.983629208,1.855092316,2.287243652,8.445437622,8.944175068,0.0
1.993570208,2.081122284,1.820065155,8.220156097,8.672639356,0.0
2.003511208,2.489622803,1.447190552,8.186027069,8.67776592,0.0
2.013452208,2.939736786,1.304836578,8.59542572,9.177472102,0.0
2.023393208,3.350632324,1.550026703,9.249415741,9.958966377,0.0
