"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.182452208E0,4.783901825E0,4.016747131E0,7.333699493E0,9.633437727E0
2.192393208E0,4.852309570E0,4.073778534E0,7.038663025E0,9.470129719E0
2.202335208E0,4.847519531E0,3.967499542E0,6.868616638E0,9.296095565E0
2.212276208E0,4.804558868E0,3.788322144E0,6.680457916E0,9.058901068E0
2.222217208E0,4.629273376E0,3.695066071E0,6.676116943E0,8.924921439E0
2.232158208E0,4.057761841E0,3.382516022E0,7.075187073E0,8.829785836E0
2.242099208E0,3.395389252E0,3.534899139E0,7.844886475E0,9.250212100E0
2.252040208E0,4.206103363E0,3.923191681E0,8.152646484E0,9.977393606E0
2.261982208E0,4.919370117E0,3.839515686E0,7.951614532E0,1.010793039E1
2.271923208E0,5.420827332E0,3.807182922E0,7.672894135E0,1.013673099E1
2.281864208E0,5.485043793E0,3.863615570E0,7.353458405E0,9.954224289E0
2.291805208E0,5.147645416E0,3.904181213E0,7.095694427E0,9.596341161E0
2.301746208E0,5.013973389E0,3.899540863E0,6.975195007E0,9.433964886E0
2.311688208E0,5.180576935E0,3.855382690E0,6.978188782E0,9.507758502E0
2.321629208E0,5.412744141E0,3.968996429E0,6.936725006E0,9.652403100E0
2.331570208E0,5.580395508E0,4.244273987E0,6.732699280E0,9.720283704E0
2.341511208E0,5.787864075E0,4.269122314E0,6.542295227E0,9.722468962E0
2.351452208E0,5.809868317E0,3.958967285E0,6.424340515E0,9.523662262E0
2.361393208E0,5.769152985E0,3.613485718E0,6.336173859E0,9.299865825E0
2.371335208E0,5.964496765E0,3.519032135E0,6.249953156E0,9.328489871E0
2.381276208E0,6.091881866E0,3.665727081E0,6.250102844E0,9.466380791E0
2.391217208E0,6.147117004E0,3.812122650E0,6.306086426E0,9.596147799E0
2.401158208E0,6.311026154E0,3.942800903E0,6.310128021E0,9.756661607E0
2.411099208E0,6.824608154E0,4.220623169E0,6.460714874E0,1.030193055E1
2.421041208E0,7.253765717E0,4.431833954E0,6.753805389E0,1.085689442E1
2.430982208E0,7.194638672E0,4.364024963E0,6.982978821E0,1.093478544E1
2.440923208E0,6.894961853E0,4.256698151E0,7.029382324E0,1.072717083E1
2.450864208E0,6.794670410E0,4.018244019E0,6.740632782E0,1.038026788E1
2.460805208E0,6.570287018E0,3.770958252E0,6.247109070E0,9.819122637E0
2.470746208E0,6.370003510E0,3.535797272E0,5.793252869E0,9.308092493E0
2.480688208E0,6.399043121E0,3.384461975E0,5.486241302E0,9.083015984E0
2.490629208E0,6.409221954E0,3.513942719E0,5.157375183E0,8.945637946E0
2.500570208E0,6.197262726E0,3.902684326E0,4.809797974E0,8.761915703E0
2.510507583E0,5.919290771E0,4.193828888E0,4.548142090E0,8.562231044E0
2.520448583E0,5.956413574E0,4.240980835E0,4.464017029E0,8.566926470E0
2.530389583E0,6.056255951E0,4.109105072E0,4.533322906E0,8.608948670E0
2.540331583E0,5.981112213E0,3.918701019E0,4.907544708E0,8.672595693E0
2.550272583E0,6.078110504E0,3.752396851E0,6.208190002E0,9.463906832E0
2.560213583E0,6.223308563E0,3.939358063E0,5.986051941E0,9.491097369E0
2.570154583E0,6.085594940E0,4.316573639E0,4.855902100E0,8.902081720E0
2.580095583E0,6.131250000E0,4.468956757E0,4.563560028E0,8.853806028E0
2.590037583E0,5.712870026E0,4.283492432E0,4.123774567E0,8.245647823E0
2.599978583E0,5.196893005E0,4.165238342E0,3.914360046E0,7.725226335E0
2.609919583E0,4.799619141E0,4.122577057E0,3.864513702E0,7.413936312E0
2.619860583E0,4.838388519E0,3.988605652E0,3.806733856E0,7.335543685E0
2.629801583E0,5.019062805E0,3.939358063E0,3.507805481E0,7.281087328E0
2.639742583E0,5.107828217E0,4.112248535E0,3.239263916E0,7.313913304E0
2.649684583E0,5.168751526E0,4.302203522E0,3.329675903E0,7.504111480E0
2.659625583E0,5.227429504E0,4.459825745E0,3.698059845E0,7.803314136E0
2.669566583E0,5.408253479E0,4.772675171E0,4.260889435E0,8.377518293E0
2.679507583E0,5.673950958E0,5.042114868E0,4.808450775E0,8.985423790E0
2.689448583E0,5.830225983E0,5.062921600E0,5.245092773E0,9.334650949E0
2.699390583E0,5.914201355E0,4.936883698E0,5.548362122E0,9.493941254E0
2.709331583E0,5.735772400E0,4.758005676E0,5.651647339E0,9.353011316E0
2.719272583E0,5.542374573E0,4.500391388E0,5.694608002E0,9.132359982E0
2.729213583E0,5.515280914E0,4.227359161E0,5.804928589E0,9.054616776E0
2.739154583E0,5.613027649E0,3.960464172E0,6.071823578E0,9.168336676E0
2.749095583E0,5.672304382E0,3.866309967E0,6.450386353E0,9.419706676E0
2.759037583E0,5.710025940E0,4.028123474E0,6.683601379E0,9.669576121E0
2.768978583E0,5.584137726E0,3.756737823E0,6.458918610E0,9.328092132E0
2.778919583E0,5.940995636E0,3.833228760E0,6.458768921E0,9.576260640E0
2.788860583E0,6.464307404E0,4.136198730E0,6.770570526E0,1.023406251E1
2.798801583E0,6.413562927E0,3.718118134E0,6.857988739E0,1.009901982E1
2.808743583E0,6.352190552E0,3.092269592E0,6.885531464E0,9.865241993E0
2.818684583E0,6.678362274E0,3.027604065E0,6.985074463E0,1.012710098E1
2.828625583E0,6.789131927E0,3.289709015E0,7.122937775E0,1.037548747E1
2.838566583E0,6.737189941E0,3.400179291E0,7.343429260E0,1.052981010E1
2.848507583E0,6.726711731E0,3.288062439E0,7.496560822E0,1.059520785E1
2.858448583E0,6.804849243E0,3.049757996E0,7.523355103E0,1.059282158E1
2.868390583E0,6.776408386E0,2.853516083E0,7.547604675E0,1.053701101E1
2.878331583E0,6.968309326E0,2.813998260E0,7.807913361E0,1.083694755E1
2.888272583E0,7.532336426E0,2.968177643E0,8.186775513E0,1.151388135E1
2.898213583E0,7.525750122E0,3.189866638E0,8.170609131E0,1.155729283E1
2.908154583E0,6.813680878E0,3.223546600E0,7.539970551E0,1.066155034E1
2.918095583E0,6.232888641E0,3.126548309E0,6.854994965E0,9.778300523E0
2.928037583E0,6.023174744E0,2.935994568E0,6.276298370E0,9.180992285E0
2.937978583E0,5.939049683E0,2.798131256E0,5.665568390E0,8.671823040E0
2.947919583E0,5.761967926E0,2.738106079E0,5.310806122E0,8.300732555E0
2.957860583E0,5.782175903E0,2.697690125E0,5.219496002E0,8.243435491E0
2.967801583E0,5.782924347E0,2.587968292E0,5.241949310E0,8.223005926E0
2.977742583E0,5.622907104E0,2.395618286E0,5.536237335E0,8.246574750E0
2.987684583E0,6.021677856E0,2.098186798E0,5.950426025E0,8.721843952E0
2.997625583E0,6.653663635E0,1.892963562E0,6.538103943E0,9.518474352E0
3.007566583E0,7.009922791E0,1.853894806E0,7.202422485E0,1.022011904E1
3.017507583E0,7.377857666E0,1.951791229E0,7.759563904E0,1.088361634E1
3.027448583E0,7.796686707E0,2.104024658E0,8.033943329E0,1.139120225E1
3.037389583E0,8.051307220E0,2.248623962E0,8.170609131E0,1.168925623E1
3.047331583E0,7.884853363E0,2.394271088E0,8.153993683E0,1.159271580E1
3.057272583E0,7.683222656E0,2.548300781E0,7.919730835E0,1.132465822E1
3.067213583E0,7.525899811E0,2.624192963E0,7.527995453E0,1.096340605E1
3.077154583E0,7.488178253E0,2.631228333E0,7.151827698E0,1.068385771E1
3.087095583E0,7.597451019E0,2.633174286E0,7.034771118E0,1.068376682E1
3.097037583E0,7.625442810E0,2.739602966E0,7.068600769E0,1.075257733E1
3.106978583E0,7.503446503E0,2.907553711E0,7.067103882E0,1.070978689E1
3.116919583E0,7.430398407E0,2.963537292E0,7.022346954E0,1.064456343E1
3.126860583E0,7.609276428E0,2.915786591E0,7.006330261E0,1.074670010E1
3.136801583E0,7.889344025E0,2.946772156E0,7.137008514E0,1.103911708E1
3.146742583E0,7.917934570E0,3.198099518E0,7.223079529E0,1.118456107E1
3.156684583E0,7.792046356E0,3.441643066E0,7.211553497E0,1.116097654E1
3.166625583E0,7.680827637E0,3.500919800E0,7.082821198E0,1.101897948E1
3.176566583E0,7.622449036E0,3.447480927E0,6.801256714E0,1.078164862E1
3.186507583E0,7.471413116E0,3.386258240E0,6.609655151E0,1.053452894E1
3.196448583E0,7.255861359E0,3.396137695E0,6.446943512E0,1.028320747E1
3.206389583E0,7.193291473E0,3.443589020E0,6.277196503E0,1.014913511E1
3.216331583E0,7.129524078E0,3.484454041E0,6.238726501E0,1.009421824E1
3.226272583E0,7.257058868E0,3.504662018E0,6.417903900E0,1.030228372E1
3.236213583E0,7.564070435E0,3.598217468E0,6.735693054E0,1.074857625E1
3.246154583E0,7.712112579E0,3.836671600E0,6.888824615E0,1.102962529E1
3.256095583E0,7.725883942E0,4.029770050E0,6.865622864E0,1.109347135E1
3.266036583E0,7.646548920E0,4.008214874E0,6.767876129E0,1.096994276E1
3.275978583E0,7.670798492E0,3.827540588E0,6.626420288E0,1.083515862E1
3.285919583E0,7.619155884E0,3.678600311E0,6.483317871E0,1.065912976E1
3.295860583E0,7.548502808E0,3.628005524E0,6.314019928E0,1.048852546E1
3.305801583E0,7.475155334E0,3.628753967E0,6.053112488E0,1.028036835E1
3.315742583E0,7.562872925E0,3.581302643E0,5.806425476E0,1.018515352E1
